"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2020-01-02","77",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-03",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-04",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-05",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-06",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-07","78",",,S","42",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-08",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-09","74",",,S","42",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-13","78",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-14",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-15","79",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-16","78",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-17","75",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-18","74",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-19","74",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-20",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-21",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-22",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-23","74",",,S","43",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-24",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-25",,,,
"MXM00076680","MEXICO CITY, MX","2020-01-26","72",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-27","76",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-28","75",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-29","76",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-30","76",",,S","46",",,S"
"MXM00076680","MEXICO CITY, MX","2020-01-31","72",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-01","76",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-02","71",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-03","71",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-04",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-06",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-07",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-08","82",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-09","81",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-10",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-11","85",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-12","84",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-13","79",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-14",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-15",,,,
"MXM00076680","MEXICO CITY, MX","2020-02-16","78",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-18","87",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-19","86",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-02-20","84",",,S","52",",,S"
