"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076726","CUERNAVACA, MX","2020-01-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-08","84",",,S","47",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-14","86",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-15","86",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-16","86",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-17","86",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-18","86",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-23","82",",,S","50",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-25","81",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-28","86",",,S","50",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-29","86",",,S","49",",,S"
"MXM00076726","CUERNAVACA, MX","2020-01-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-01-31",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-11","88",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-12","85",",,S","52",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-19","90",",,S","52",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-22","86",",,S","48",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-26","88",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-27","86",",,S","51",",,S"
"MXM00076726","CUERNAVACA, MX","2020-02-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-02-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-03","91",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-06","89",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-14","94",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-21","93",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-27","96",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-28","94",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-29","94",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-03-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-03-31","92",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-01","90",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-03","93",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-08","95",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-14","95",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-15","95",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-16","94",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-17","94",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-19","93",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-21","94",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-22","94",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-26","96",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-28","94",",,S","62",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-29",,,,
