"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-02","73",",,S","45",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-11",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-13","75",",,S","43",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-18","75",",,S","43",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-20","76",",,S","46",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-23","73",",,S","38",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-24","70",",,S","45",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-27","74",",,S","44",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-30",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-01-31",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-04","76",",,S","46",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-11",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-18","86",",,S","41",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-19","89",",,S","41",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-21","83",",,S","46",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-27",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-28","82",",,S","43",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-02-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-01","82",",,S","43",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-10","83",",,S","46",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-11","83",",,S","46",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-18",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-26","92",",,S","44",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-27","93",",,S","44",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-30",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-03-31",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-07","87",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-11",,,,
